GaitCyclePercent,Hip Flexion/Extension,Hip Add/Abduction,Hip Int/External Rotation,Knee Flx/Extension,Knee Add/Abduction,Knee Int/External Rotation,Ankle Dorsi/Plantarflexion,Ankle Inv/Eversion,Ankle Add/Abduction,Foot Angle,Shank Angle,Thigh Angle
89.0,0.0,0.0,0.0,25.863108987448122,0.9532008095080415,-3.7131205842236636,-3.3940430694898396,0.6598398361993885,-3.4208101304129563,-0.6849179302632155,2.879193461824927,28.820303311178336
90.0,0.0,0.0,0.0,21.864352760357118,0.667863027393549,-3.733371381810464,-3.3562926385116616,0.7678825999124771,-3.224856470487846,3.0519467158357747,6.5452356490805546,28.50790525585896
91.0,0.0,0.0,0.0,17.878401009851405,0.45262761295749576,-3.7468828624514785,-3.311172701751666,0.8808324203409886,-2.981069383944943,6.714452158239257,10.143948189229143,28.12027917911903
92.0,0.0,0.0,0.0,13.988081886163748,0.31266795748176857,-3.797709285926124,-3.2242884610911853,1.039286704146553,-2.6785203714932955,10.272994963388685,13.582570544233619,27.67574365157273
93.0,0.0,0.0,0.0,10.294418755775041,0.23412812606850433,-3.9454596948668317,-3.0921909310924054,1.2701228361330739,-2.2847828685259137,13.659605931657149,16.796793133352075,27.20189146398683
94.0,0.0,0.0,0.0,6.911580076346377,0.18159326012341012,-4.225776885425785,-2.9371053851298905,1.5675015668033614,-1.7727725631825042,16.778862188947826,19.691672287691155,26.733024662148342
95.0,0.0,0.0,0.0,3.9634357529120825,0.11459056777991607,-4.564746432345277,-2.765380399657526,1.9107321438371838,-1.1937137566588127,19.519543897927775,22.172662189001883,26.298866632450114
96.0,0.0,0.0,0.0,1.6066446937203729,0.03531859370651461,-4.820833730648167,-2.5537280909361417,2.2436631609852538,-0.6583038674885082,21.77272031479479,24.12322817998102,25.92584834007123
97.0,0.0,0.0,0.0,-0.037115146478785305,-0.03300035932430408,-4.879044471014044,-2.286579926540199,2.4965049344498778,-0.29195583196067226,23.428609027018368,25.438995588820337,25.61628581018656
98.0,0.0,0.0,0.0,-0.924995039678259,-0.07150053912140236,-4.770984407875831,-1.9980660196764144,2.6522438217311812,-0.14969852454356097,24.40710488508384,26.080002388349303,25.377381686868087
99.0,0.0,0.0,0.0,-1.106394500164024,-0.07677963024546122,-4.637908823843532,-1.7232745384503663,2.7149398677070242,-0.14302705482606942,24.71502777353598,26.095609028055268,25.218785691789748
100.0,0.0,0.0,0.0,-0.7259421122659099,-0.06261036152241428,-4.563099009655968,-1.5108195754092617,2.661130554055951,-0.14609944722932988,24.46179329191725,25.630181210729607,25.14959131408514
